Genus,Scoring
Acrostichum,a
Actiniopteris,ap
Actinostachys,a
Acystopteris,u
Adenophorus,u
Adetogramma,u
Adiantopsis,ap
Adiantum,sp
Alansmia,ap
Aleuritopteris,u
Alsophila,a
Amauropelta,a
Ampelopteris,u
Ananthacorus,u
Anchistea,u
Anemia,a
Angiopteris,a
Anogramma,a
Antrophyum,a
Arachniodes,sp
Argyrochosma,a
Arthrobotrya,u
Arthropteris,sp
Ascogrammitis,ap
Aspidotis,a
Asplenium,sp
Astrolepis,a
Athyrium,a
Austroblechnum,ap
Austrogramme,u
Azolla,a
Blechnopsis,ap
Blechnum,sp
Blotiella,a
Bolbitis,sp
Bommeria,a
Bosmania,u
Botrychium,a
Botrypus,a
Brainea,u
Calciphilopteris,u
Calochlaena,u
Calymmodon,sp
Campyloneurum,ap
Ceradenia,a
Ceratopteris,a
Cerosora,u
Cheilanthes,sp
Cheiroglossa,a
Cheiropleuria,a
Chingia,u
Christella,a
Christensenia,u
Chrysogrammitis,a
Cibotium,a
Cleistoblechnum,u
Cochlidium,sp
Coniogramme,ap
Coryphopteris,u
Cosentinia,u
Cranfillia,ap
Cryptogramma,ap
Ctenitis,sp
Ctenopterella,ap
Ctenopteris,sp
Culcita,a
Cyathea,a
Cyclodium,ev
Cyclogramma,u
Cyclopeltis,sp
Cyrtomium,a
Cystodium,u
Cystopteris,a
Danaea,a
Dasygrammitis,a
Davallia,sp
Dendroconche,u
Dennstaedtia,a
Deparia,sp
Dicksonia,a
Dicranopteris,a
Dictymia,u
Didymochlaena,ap
Diplaziopsis,ap
Diplazium,a
Diploblechnum,u
Diplopterygium,a
Dipteris,a
Doryopteris,sp
Dracoglossum,u
Aglaomorpha,sp
Dryopteris,ev
Elaphoglossum,sp
Enterosora,a
Ephemeropteris,a
Equisetum,ap
Eupodium,a
Gaga,ap
Galactodenia,ap
Glaphyropteridopsis,u
Gleichenella,a
Gleichenia,a
Goniophlebium,sp
Goniopteris,a
Grammitis,sp
Gymnocarpium,a
Haplopteris,a
Helminthostachys,a
Hemidictyum,a
Hemionitis,ap
Homalosorus,ev
Hovenkampia,u
Hymenasplenium,u
Hymenophyllum,a
Hypodematium,u
Hypoderris,u
Hypolepis,a
Icarus,ap
Jamesonia,a
Japanobotrychium,a
Lastreopsis,a
Lecanopteris,sp
Lellingeria,ap
Lepisorus,sp
Leptochilus,u
Leptolepia,u
Leptopteris,u
Leucostegia,sp
Leucotrichum,ap
Lindsaea,a
Llavea,ap
Lomagramma,u
Lomaria,sp
Lomaridium,sp
Lomariocycas,sp
Lomariopsis,a
Lonchitis,ev
Lophosoria,a
Lorinseria,u
Loxogramme,a
Loxsoma,u
Loxsomopsis,a
Lygodium,a
Macrothelypteris,a
Mankyua,a
Marattia,a
Marsilea,a
Matonia,a
Matteuccia,a
Maxonia,u
Megalastrum,ap
Melpomene,ap
Meniscium,a
Mesopteris,u
Metathelypteris,u
Metaxya,a
Mickelia,u
Microgramma,sp
Microlepia,ev
Micropolypodium,ap
Microsorum,ap
Monachosorum,a
Moranopteris,ap
Mycopteris,ap
Myriopteris,a
Nephrolepis,ap
Nesolindsaea,u
Niphidium,ap
Notholaena,ap
Notogrammitis,u
Oceanopteris,ap
Odontosoria,a
Oleandra,sp
Olfersia,a
Onoclea,a
Onocleopsis,a
Onychium,ev
Ophioderma,a
Ophioglossum,a
Oreogrammitis,sp
Oreopteris,u
Osmolindsaea,u
Osmunda,a
Osmundastrum,a
Paesia,a
Parablechnum,ev
Paragymnopteris,u
Parapolystichum,u
Parrisia,a
Pecluma,sp
Pellaea,ev
Pentarhizidium,a
Phanerophlebia,a
Phanerosorus,u
Phegopteris,u
Phlebodium,ap
Phymatosorus,u
Pilularia,a
Pityrogramma,u
Plagiogyria,a
Platycerium,u
Platyzoma,u
Pleocnemia,ev
Pleopeltis,sp
Pleurosoriopsis,u
Polybotrya,a
Polypodium,sp
Polystichopsis,u
Polystichum,ev
Polytaenium,a
Pronephrium,u
Prosaptia,a
Pseudophegopteris,ap
Psilotum,a
Pteridium,a
Pteridrys,u
Pteris,ev
Pterozonium,ap
Ptisana,a
Pyrrosia,ap
Radiogrammitis,sp
Radiovittaria,u
Regnellidium,a
Rhachidosorus,u
Rheopteris,a
Rumohra,a
Saccoloma,a
Sadleria,ap
Salpichlaena,a
Salvinia,a
Sceptridium,a
Schizaea,a
Scleroglossum,a
Scoliosorus,a
Selliguea,sp
Serpocaulon,ev
Sphaeropteris,a
Sphaerostephanos,a
Sphenomeris,u
Spicantopsis,u
Stegnogramma,ev
Steiropteris,u
Stenochlaena,u
Stenogrammitis,ap
Sticherus,a
Stigmatopteris,sp
Stromatopteris,u
Synammia,u
Syngramma,u
Taenitis,u
Tapeinidium,u
Tectaria,ev
Telmatoblechnum,u
Teratophyllum,u
Terpsichore,ap
Thelypteris,a
Themelium,ap
Thylacopteris,ap
Thyrsopteris,u
Tmesipteris,a
Todea,a
Tomophyllum,ap
Trachypteris,u
Trichomanes,a
Trigonospora,u
Triplophyllum,u
Tryonia,u
Vaginularia,a
Vittaria,a
Woodsia,ev
Woodwardia,a
Xiphopterella,sp
Zygophlebia,a
